outlet_id,name,address,X,Y,outlets_within_15min,degree
0,ARTEASE CAFE,1 PUNGGOL DRIVE #02-45 ONE PUNGGOL 828629,35988.7431785334,43348.1788612213,71,1
1,ARTEASE CAFE,900 SOUTH WOODLANDS DRIVE #01-03 WOODLANDS CIVIC CENTRE 730900,22845.924756743,46306.879990235,100,1
2,Atrium Kitchen @ Holiday Inn Singapore Atrium,317 OUTRAM ROAD #04-00 HOLIDAY INN SINGAPORE ATRIUM 169075,28098.8517283937,30143.9909522608,17,1
3,Adam Chicken,503 WEST COAST DRIVE #01-28 Ayer Rajah Food Centre 120503,19812.6694068518,32678.1587596238,32,1
4,Al Zamira Restaurant,724 ANG MO KIO AVENUE 6 #01-04 560724,29468.07854502,39353.3925121035,16,1
5,A&W,53 ANG MO KIO AVENUE 3 #B1-47/48/ 51/51A AMK HUB 569933,29711.0075057196,39028.6385976207,74,1
7,A&W,133 CANBERRA VIEW #01-04/26/27 CANBERRA PLAZA 750133,27669.1282042367,47239.9100809004,21,1
9,A&W,11 BIDADARI PARK DRIVE #01-40 THE WOODLEIGH MALL 367803,32277.0183821376,35651.5520587377,35,1
10,APSN Cafe for All - Centre for Adults.,11 JALAN UBI #01-51 KEMBANGAN-CHAI CHEE COMMUNITY HUB 409074,35369.4225783059,33271.612825254,186,1
11,Ace Western (MR2)@Foodgle Hub ITE College West,"1 CHOA CHU KANG GROVE #03-05 ITE COLLEGE WEST, MR2 (PART OF) 688236",18995.5920269676,39696.5911910385,14,1
12,ARNOLD'S,215 BEDOK NORTH STREET 1 #01-83 460215,39148.9025589321,34256.4833759218,56,1
13,ARNOLD'S,810 GEYLANG ROAD #02-99/10 CITY PLAZA 409286,34694.5110424841,33008.0531160496,189,1
14,ARNOLD'S,21 HOUGANG STREET 51 #01-49 HOUGANG GREEN SHOPPING MALL 538719,34066.6627102559,40135.5216910187,13,1
15,ARNOLD'S,5 TAMPINES AVENUE 3 #02-07 TAMPINES WEST COMMUNITY CLUB 529705,39392.7640156746,36764.7284713108,7,1
16,A-Po Hokkien Mee (MR1) @ The Food Market Century Square,"2 TAMPINES CENTRAL 5 #03-19 CENTURY SQUARE, MR1 529509",40296.7094797157,37163.8108075112,169,1
17,A-PO Hokkien Mee (S9)@Food Junction Lot One,"21 CHOA CHU KANG AVENUE 4 LOT ONE, SHOPPERS' MALL, Stall 9 689812",18173.7710486762,40765.1880696882,61,1
18,AH B BAKERY(S10) @ KEDAI KOPI 376 BT BATOK,"376 BUKIT BATOK STREET 31 #01-126, STALL 10 650376",18680.8479768448,37821.4757067487,36,1
19,ANNABELLA PATISSERIE,1 WOODLANDS SQUARE #B1-K05 CAUSEWAY POINT 738099,22699.5234229155,46412.0238526929,108,1
20,ANNABELLA PATISSERIE,1 SENGKANG SQUARE #01-22 COMPASS ONE 545078,34872.1834410084,41551.7693360616,78,1
21,Apma Foods,107 LORONG 1 TOA PAYOH #01-264 TOA PAYOH NORTH 310107,29555.3157775067,35932.3164531048,29,1
22,Al Madina Prata Corner,"155 BUKIT BATOK STREET 11 #01-324, Stall 12 650155",18014.7624337347,36683.5893295035,49,1
23,Al Madina Famous Prata Corner,"635C SENJA ROAD #01-01,STALL 8 673635",19666.3020034339,40937.9798466433,2,1
24,Al Madina Famous Prata Corner,"257 BANGKIT ROAD #01-61 BUKIT PANJANG NEW TOWN, STALL 4 670257",21310.927306273,40054.092188444,12,1
25,Al Madina Famous Prata Corner,"413 BUKIT BATOK WEST AVENUE 4 #01-220, Stall 2 650413",18348.9061123934,38401.8597240616,31,1
26,Al Madina Famous Prata Corner,"494 TAMPINES STREET 45 #01-06, Stall 5 523494",41621.5700003644,38325.3894792795,25,1
27,Al Madina Famous Prata Corner,"167 WOODLANDS STREET 11 #01-07, Stall 2 730167",21608.4051969601,46145.1054566726,25,1
28,AL MAKAN,201D TAMPINES STREET 21 #01-1155 524201,41384.4689885899,37152.143589437,48,1
30,Add More Mala Hot Pot (Stall 49) @ Bukit Canberra Hawker Centre,"21 CANBERRA LINK #01-49, (Stall 49) 756973",26825.4015596965,47767.1251461413,42,1
31,Auntie Anne's,53 ANG MO KIO AVENUE 3 #01-09/10 AMK HUB 569933,29711.0075057196,39028.6385976207,74,1
32,Auntie Anne's,1 SENGKANG SQUARE #B1-18 COMPASS ONE 545078,34872.1834410084,41551.7693360616,78,1
33,Auntie Anne's,17 PETIR ROAD #B2-31 HILLION MALL 678278,20156.924196275,40045.5291034393,79,1
34,Auntie Anne's,50 JURONG GATEWAY ROAD #B1-32 JEM 608549,17988.4838308077,35058.3568146359,76,1
36,Auntie Anne's,1 JURONG WEST CENTRAL 2 #01-K2 JURONG POINT 648886,13907.0305282837,35735.67771223,77,1
37,Auntie Anne's,23 SERANGOON CENTRAL #03-K10 NEX 556083,32289.4083088608,36976.3859132938,58,1
38,Auntie Anne's,930 YISHUN AVENUE 2 #B1-25 769098,28273.5290191257,45714.3116263431,184,1
39,Auntie Anne's,80 MARINE PARADE ROAD #B1-08 PARKWAY PARADE 449269,36015.2572663743,31474.4648520965,49,1
40,Auntie Anne's,"10 PAYA LEBAR ROAD #B2-K7 PAYA LEBAR QUARTER,B2-K7 409057",34688.1094547315,33331.1497676186,234,1
43,Auntie Anne's,11 BIDADARI PARK DRIVE #B1-K22 THE WOODLEIGH MALL 367803,32277.0183821376,35651.5520587377,35,1
44,Auntie Anne's,1 HARBOUR FRONT WALK #B2-K6 VIVO CITY 098585,26748.4993302505,27426.9234353155,115,1
45,Auntie Anne's,83 PUNGGOL CENTRAL #B1-K13A WATERWAY POINT 828761,35657.8013379965,43139.2621246278,60,1
46,ALL GOOD GOURMET,23 SERANGOON CENTRAL #B2-49 NEX 556083,32289.4083088608,36976.3859132938,58,1
47,AL-AZHAR,11 & 12 CHEONG CHIN NAM ROAD 599736,21528.6810228564,36115.8611128815,13,1
49,Amigo's,"878C TAMPINES AVENUE 8 #01-66, Stall 2 523878",38688.7606494464,37041.6473486144,24,1
50,Amigo's,"131 MARSILING RISE #01-206, Stall 1 730131",21912.1571563846,46685.3823676072,10,1
51,ANAS BAKERY,55 SIMS AVENUE EAST #01-04 KEMBANGAN MRT STATION 416551,36861.9614935443,33699.3440501876,38,1
52,ABANG RECIPES,604 SEMBAWANG ROAD #B1-08/09 SEMBAWANG SHOPPING CENTRE 758459,27051.0859117657,47047.237293398,28,1
54,Ayam Penyet Ria,1 JURONG WEST CENTRAL 2 #B1-06 JURONG POINT 648886,13907.0305282837,35735.67771223,77,1
55,Ayam Penyet Ria,304 ORCHARD ROAD #04-25/26/27 LUCKY PLAZA 238863,28071.6446550656,31871.1689420138,53,1
56,Ayam Penyet Ria,23 SERANGOON CENTRAL #01-57 NEX 556083,32289.4083088608,36976.3859132938,58,1
57,Ayam Penyet Ria,11 RIVERVALE CRESCENT #01-08/09/10 RIVERVALE MALL 545082,35919.7396821184,41601.6646846253,19,1
58,Ayam Penyet Ria,6 WOODLANDS SQUARE #B2-03 WOODS SQUARE 737737,22728.8046400957,46316.1292806994,111,1
59,ABANG GEMUK (S9) @ O2 CAFE 134 BUKIT BATOK,"134 BUKIT BATOK WEST AVENUE 6 #01-463, STALL 9 650134",18116.5585966576,37077.7480030619,47,1
60,AYAM PENYET PRESIDENT,2 TAMPINES CENTRAL 5 #B1-20 CENTURY SQUARE 529509,40296.7094797157,37163.8108075112,169,1
61,AYAM PENYET PRESIDENT,445 BEDOK NORTH STREET 1 #01-07 DJITSUN MALL BEDOK 469661,38710.0881669372,34261.3041274194,71,1
62,AYAM PENYET PRESIDENT,3151 COMMONWEALTH AVENUE WEST #01-19/23 GRANTRAL MALL @ CLEMENTI 129581,20413.2100247061,32950.9688186739,73,1
63,AYAM PENYET PRESIDENT,17 PETIR ROAD #B2-57 & 58 HILLION MALL 678278,20156.924196275,40045.5291034393,79,1
64,AYAM PENYET PRESIDENT,112 EAST COAST ROAD #04-07 112 KATONG 428802,35982.6165148774,31948.7392463963,74,1
65,AYAM PENYET PRESIDENT,1 NORTH COAST AVENUE #01-03 1 NORTH COAST 737663,23333.3124220399,47576.9898145162,11,1
67,AYAM PENYET PRESIDENT,304 ORCHARD ROAD #03-36/37 LUCKY PLAZA 238863,28071.6446550656,31871.1689420138,53,1
68,AYAM PENYET PRESIDENT,930 YISHUN AVENUE 2 #B1-54 NORTHPOINT 769098,28273.5290191257,45714.3116263431,184,1
69,Ayam Penyet President Express,1187 UPPER SERANGOON ROAD #01-17 THE MIDTOWN 533971,34896.83710723,39169.0242907554,39,1
70,AYAM PENYET PRESIDENT,2 TAI THONG CRESCENT #01-15 THE VENUE SHOPPES 347836,32001.1766515719,34557.2744909097,7,1
71,ANDES,1 JELEBU ROAD #03-10 BUKIT PANJANG PLAZA 677743,20325.461808118,40210.2194124069,79,1
74,ANDES,5 CHANGI BUSINESS PARK CENTRAL 1 #02-02a CHANGI CITY POINT 486038,42426.1948593352,35142.0820227042,49,1
75,ANDES,1 Pasir Ris Close #02-325 E!Hub @ Downtown East 519599,41557.3568058563,39854.1394968368,43,1
76,ANDES,3 SIMEI STREET 6 #01-13 EASTPOINT MALL 528833,41321.990633836,36095.4413322229,61,1
77,ANDES,750 Chai Chee Road #01-30 Technopark @ Chai Chee 469000,37880.8159072176,33988.3764167186,50,1
78,ANDES,2 JURONG EAST STREET 21 #01-96 IMM BUILDING 609601,18381.9356864095,35229.409786731,66,1
79,ANDES,6 WOODLANDS SQUARE #01-13/16 WOODS SQUARE 737737,22728.8046400957,46316.1292806994,111,1
80,AJ Delights (S82 & 83) @ Alexandra Village Food Centre,120 BUKIT MERAH LANE 1 #01-82&83 Alexandra Village Food Centre 150120,24791.9139356269,29858.7134501822,23,1
81,AJ Delights Snacks,339 ANCHORVALE ROAD #B1-02 ANCHORVALE VILLAGE 540339,34133.9829132929,42075.8777559884,45,1
82,AJ DELIGHTS,2 TAMPINES CENTRAL 5 #B1-32 CENTURY SQUARE 529509,40296.7094797157,37163.8108075112,169,1
83,AJ DELIGHTS,1 FUSIONOPOLIS WAY #B1-22 CONNEXIS 138632,22916.4807585794,31328.5716571808,21,1
84,"ASAM TREE CAFE, BAKERY AND RESTAURANT",709 ANG MO KIO AVENUE 8 #01-2609 560709,29596.2838566834,39238.9064364713,15,1
85,Anna's,681 PUNGGOL DRIVE #01-04 OASIS TERRACES 820681,36891.3954429701,42737.9701953474,30,1
86,Ayam Penyet YB (S9) @ Jurong West Hawker Centre.,"50 JURONG WEST STREET 61 #02-09, STALL 9 648202",12856.1163570611,35936.1073061898,31,1
87,Bizlink Cafe,10 BUANGKOK VIEW INSTITUTE OF MENTAL HEALTH 539747,33828.2181632193,40338.6487374194,15,1
88,Bedok One Hokkien Prawn Mee (S15) @ Fernvale Hawker Centre,"21 SENGKANG WEST AVENUE #03-15 FERNVALE COMMUNITY CENTRE, FERNVALE HAWKER CENTRE & MARKET 797650",32861.2189197866,41515.4977280423,35,1
89,Bali Thai Restaurant,1 WOODLANDS SQUARE #05-05 CAUSEWAY POINT 738099,22699.5234229155,46412.0238526929,108,1
90,Bali Thai Restaurant,2 JURONG EAST STREET 21 #01-21 IMM BUILDING 609601,18381.9356864095,35229.409786731,66,1
91,Bali Thai Restaurant,23 Serangoon Central #02-13 NEX 556083,32289.4083088608,36976.3859132938,58,1
94,BEBEK GORENG PAK NDUT,304 ORCHARD ROAD #01-42/43/44 LUCKY PLAZA 238863,28071.6446550656,31871.1689420138,53,1
95,BEBEK GORENG PAK NDUT,10 EUNOS ROAD 8 #B1-130 SINGAPORE POST CENTRE 408600,34806.9933473254,33466.3257959317,230,1
96,BEBEK GORENG PAK NDUT,3 GATEWAY DRIVE #B1-11 WESTGATE 608532,17902.4121881062,35135.4420140442,37,1
98,BREAD FRESH,257 BANGKIT ROAD #01-57 BUKIT PANJANG NEW TOWN 670257,21310.927306273,40054.092188444,12,1
99,BREAD FRESH,445 FAJAR ROAD #01-524 (PART OF) 670445,21074.3215392474,40594.8962768503,24,1
100,BREAD FRESH,103 YISHUN RING ROAD #01-65 760103,27507.4825517498,45899.0676108301,118,1
101,BREAD FRESH,598 Yishun Ring Road #01-61 Wisteria Mall 768698,28884.7489383351,44415.5435907897,64,1
102,BAKE INC,275D COMPASSVALE LINK #01-01 ASPELLA 544275,34721.186367874,40540.2050570715,35,1
103,BAKE INC,84 BEDOK NORTH STREET 4 #01-55 460084,39784.4447099417,34887.5066380333,26,1
104,BAKE INC,2 SIMEI STREET 3 #01-20 CHANGI GENERAL HOSPITAL 529889,40925.9058268666,35887.5367570054,61,1
105,BAKE INC,810 CHOA CHU KANG AVENUE 7 #01-10 MULTI STOREY CAR PARK 680810,18300.4237338472,39561.6709877234,13,1
106,BAKE INC,180 KITCHENER ROAD #B1-35 CITY SQUARE MALL 208539,30593.6748798871,32635.8044067919,52,1
107,BAKE INC,441A CLEMENTI AVENUE 3 #01-07 CLEMENTI TOWERS 121441,20374.281765487,32991.737946393,73,1
108,BAKE INC,762 JURONG WEST STREET 75 #01-314 640762,12910.7207379946,36763.1478772014,22,1
109,BAKE INC,17 PETIR ROAD #B2-41/42 HILLION MALL 678278,20156.924196275,40045.5291034393,79,1
110,BAKE INC,258 PASIR RIS STREET 21 #01-20 LOYANG POINT 510258,42613.6482054582,38789.9653154314,12,1
111,BAKE INC,475 CHOA CHU KANG AVENUE 3 #01-17 SUNSHINE PLACE 680475,17495.9250015644,40004.170991024,12,1
112,BAKE INC,505 TAMPINES CENTRAL 1 #01-357 520505,40497.4326428482,37515.4695089683,169,1
113,BAKE INC,11 JALAN TAN TOCK SENG #01-13/14/15 TAN TOCK SENG HOSPITAL 308433,29845.4109134814,33529.1213591546,26,1
